Lookup;Reference
CORUS UK LTD-AEROSPACE;COLLINS AEROSPACE
COTO TECHNOLOGY;MICRON TECHNOLOGY
COTRONICS;ARCOTRONICS
COVENTYA SAS;COVENTYA
CRC INDUSTRIE FRANCE;CRC INDUSTRIES
CREE;CEFEM
CRIMSON;RIEDON
CROYLEK LIMITED;TOPLINE ELECTRONICS LIMITED
CTEC FRANCE;FIBRO FRANCE
CTI;CTS
CUI INC;CINCH
CURTIS;CTS
CYPRESS SEMICONDUCTOR CORP.;CENTRAL SEMICONDUCTOR CORP
DABURN;DEARBORN
DALE / VISHAY;VISHAY
DALKE;DALE
DASSAULT AVIATION;DASSAULT
DATA DELAY EDEVICES INC.;DATA DEVICE CORP
DATA DEVICE CORPORATION;DATA DEVICE CORP
DATE;DATEL
DCN-RUELLE;NORELEM
DCT ENGINEERING;PENN ENGINEERING
DDK;TDK
DDM-HOPT + SCHULER;HOPT-SCHULER
DEGOMETAL;CHEMETALL
DEGUSSA FRANCE;DEGUSSA
DELO INDUSTRIAL ADHESIVES;BELL INDUSTRIES
DELTEC;DELTECH
DELTRON;SEALTRON
DESMARQUOY / CLAMAGIRAND / ASKOL;DECRANE AERO
DETAKTA;DELTA
DEUTSCH;DELTECH
DEUTSCH CARRIER KHEOPS BAC;WESTON AEROSPACE
DEUTSCH RELAYS INC/STPI GROUP;STPI GROUP
DEUTSCHE EDELSTAHLWERKE;WURTH ELEKTRONIK
DICEP EMC;DECELECT
DIELECTRIC LABORATORIES INC;LPS LABORATORIES
DOGA;EOA
DOLOY;DELO
DOW CHEMICAL COMPAGNY;FEI COMPANY
DOW CHEMICAL COMPANY;FEI COMPANY
DOW CORNING FRANCE;DOW CORNING
DOW FRANCE SAS;FIBRO FRANCE
DRADY;BRADY
DRALORIC / VISHAY;VISHAY
DRALOWID (COREL);DOW CORNING
DRI RELAYS INC / STPI GROUP;STPI GROUP
DSG FRANCE;GRACE
DSI;DRI
dSPACE;STACEM
DU PONT DE NEMOURS INTERNATIONAL;DUPONT DE NEMOURS
DUPONT / FCI;DUPONT DE NEMOURS
DUVAL MESSIEN;MEIDEN
DYMO;MBO
DYNA;KAYNAR
DYNALOAD (TEKELEC);ALCATEL
DYTRAN INSTRUMENTS INCORPORATED_USA;TEXAS INSTRUMENTS INC
DZUS FRANCE;DURACELL
E.A.T.;EATON
E2V TECHNOLOGIES;VERO TECHNOLOGIES
EATON LIMITED;EATON
EATON LIMITED AEROQUIP PRODUCTS;AIR PRODUCTS
